review_user_id,app_id,app_version,rating,review_text,review_source,language,sentiment,complaint_category,developer_reply,thumbs_up_count,review_date,developer_reply_date,positive_review,negative_review
1591,5,,5,"i love using CIMB OCTO because it easy, simple and very useful to me. im able to do any transaction without worry",Google Play,English,Positive,General,True,0,2026-06-25 23:15:19,2026-06-27 07:16:40,True,False
2127,5,,1,Bodoh,Google Play,English,Neutral,General,False,1,2026-06-25 22:29:46,,False,False
2128,5,,1,"serius la kene tukar phone baru semata2 nak guna apps ni??seharian susah hati sebab tiba2 dah tak boleh guna..dah satu hal kene pegi bank,kedai fon ingatkan nak kene repair sebab dah update software pun still tak boleh rupanya kene tukar phone? seriously 😒 nmpak komen di facebook yang suggest untuk lower kan transaction limit atau downgrade jelah ape2 servis tu untuk user os 10 dan below..pihak cimb takde ke yang boleh come out idea yang lebih baik macam mereka?",Google Play,English,Neutral,General,True,1,2026-06-25 22:23:09,2026-06-27 07:14:20,False,False
2129,5,,1,kenapa saya tak dapat update new version cimb ni?sedangakan dari dulu dah pakai apps ni tapi sekarang nak update tiba dia cakap tak dapat update kat hp ni?,Google Play,English,Neutral,General,True,0,2026-06-25 21:59:47,2026-06-27 07:11:05,False,False
2130,5,1.9.0,1,"Before this, the app works smoothly, but recently it updated and now it is not compatible with my phone anymore (Oppo A9 2020). Is there other choice other than buying new phone as my current phone work perfectly fine.",Google Play,English,Positive,General,True,0,2026-06-25 21:57:05,2026-06-27 07:10:22,True,False
2131,5,1.9.51,5,ok,Google Play,English,Neutral,General,True,0,2026-06-25 21:31:36,2026-06-27 07:08:33,False,False
2132,5,,5,"easy to use,secure and very helpful for daily banking",Google Play,English,Positive,General,True,0,2026-06-25 21:20:28,2026-06-27 07:07:24,True,False
2133,5,1.9.51,5,"I use this apps because I get scholarship, and very helpful",Google Play,English,Neutral,General,True,0,2026-06-25 20:42:44,2026-06-27 07:06:42,False,False
2134,5,,1,Many time reinstall the app the camera for id verification show black not able do ekyc. Already 3 days reinstall this app but result still sam.,Google Play,English,Neutral,General,True,0,2026-06-25 18:50:46,2026-06-27 07:00:24,False,False
2135,5,1.9.51,1,This app sucks I have been using this app on my phone for quite some number of years now suddenly I can't even use or download the app cause of their new stupid update with the os requirement of android 11 and above where mine is 10. Stupid. I can't even use it on my new phone straight away because I have to deactivate it on the app on my old phone an app i can no longer use or download btw and I'm forced to contact their snobby customer service. Absolute rubbish,Google Play,English,Neutral,General,True,3,2026-06-25 18:07:30,2026-06-27 06:57:35,False,False
2136,5,1.9.33,1,"At this current economy, getting a new phone is mostly not feasible action. The fact that this app requires Android 11 to run without alternative support for older phones makes things annoying for the older users. Please re-enable support for at least Android 10 at the very least, Please!",Google Play,English,Neutral,General,True,2,2026-06-25 17:52:31,2026-06-27 06:54:31,False,False
2137,5,1.9.0,5,good to everything,Google Play,English,Positive,General,True,0,2026-06-25 17:47:06,2026-06-27 06:52:54,True,False
2138,5,,5,Good,Google Play,English,Positive,General,True,0,2026-06-25 17:36:00,2026-06-27 06:52:32,True,False
2139,5,1.9.51,5,Memudahkan transaksi perbankan secara dalam talian. Antara muka yang baik dan proses transaksi yang lancar.,Google Play,English,Neutral,General,True,0,2026-06-25 17:25:05,2026-06-27 06:52:11,False,False
2140,5,1.9.33,1,This CIMB OCTO prompt msg said my apps outdated asking me to update but when I click update then it come out with my Device not supported the latest version??!!!!!! Then how? I have to keep buying new phone with latest software to support the apps????? This is making me inconvenient!!!,Google Play,English,Positive,General,True,1,2026-06-25 17:25:02,2026-06-27 06:51:48,True,False
2141,5,1.9.51,1,"I download CIMB on my tablet since on my old device refused to let me update for new version because i saw it need to be 'android 11/ios' it annoying because after i tried to login using my tablet instead the app still refused to let me login because the original account obviously in my old device, so it stuck there and it tells me that i need to remove new device login, and now you tell me, how am i suppose to do that now when the app itself won't let me use it anymore???",Google Play,English,Neutral,General,True,1,2026-06-25 16:30:19,2026-06-27 06:48:36,False,False
2142,5,,1,Cannot use it anymore as it not compatible with my device,Google Play,English,Neutral,General,True,1,2026-06-25 16:23:25,2026-06-27 06:45:52,False,False
2143,5,1.9.51,5,"The CIMB Bank app makes my daily banking easier. I can transfer money, check account balances and pay bills quickly without having to go to a branch. The app design is very modern and easy to understand. Every transaction is also processed smoothly and quickly. Overall, this application provides a very good experience and makes it easier for me to manage my finances every day.",Google Play,English,Positive,General,True,0,2026-06-25 15:02:40,2026-06-27 06:43:01,True,False
2144,5,1.9.33,1,"The apps now enforce user to change phone as the apps update and become not compatible to a number of device. Among all bank in Malaysia, only public bank and cimb not compatible for my phone but public bank provide workaround by provide physical token device while CIMB CS told me to change phone and no workaround provided. Im aware some bank have fall back workaround by using sms OTP but CIMB said no... Not user friendly.",Google Play,English,Neutral,General,True,2,2026-06-25 14:01:57,2026-06-27 06:40:38,False,False
2145,5,1.9.33,1,Pain. Forcing me to get a new phone. Seriously then how about people who want to change phones? Also when using a new phone it says go to old phone to disconnect and how foolish we can even access the app on the old phone. What a useless bank to be a preferred member off,Google Play,English,Neutral,General,True,2,2026-06-25 13:53:21,2026-06-24 05:17:59,False,False
2146,5,1.9.51,1,aku msuk kn ktlaluan/id btul tpi ckp salah...aku buat ktlaluan baru ttp tk dpt login jgk...apa lh mslh cimb ni,Google Play,English,Neutral,General,True,1,2026-06-25 13:43:58,2026-06-27 06:35:14,False,False
2147,5,,1,my phone can't download this app. I'm using Android phone,Google Play,English,Neutral,General,True,1,2026-06-25 13:43:01,2026-06-27 06:32:03,False,False
1600,5,1.9.51,5,CIMB Clicks offer secure and convenient online banking services. The app allows me to manage my finances efficiently wherever I am.,Google Play,English,Positive,General,True,0,2026-06-25 13:21:33,2026-06-27 06:30:20,True,False
2148,5,,1,Cant download on huawei nova7. suck,Google Play,English,Neutral,General,True,2,2026-06-25 13:10:41,2026-06-27 06:29:35,False,False
2149,5,,1,Huawei nova 7se cannot installing this devices after update,Google Play,English,Neutral,General,True,2,2026-06-25 12:43:15,2026-06-27 06:22:40,False,False
2150,5,1.9.33,1,"why suddenly block android 10 phone? how do I pay stuff, I don't carry money? why did you do this thing.",Google Play,English,Neutral,General,True,2,2026-06-25 11:48:24,2026-06-27 06:20:47,False,False
2151,5,,1,The latest version of the CIMB Octo app v1.9.51 is not backward compatible with Huawei Mate20 with EMUI v12. This is not acceptable.,Google Play,English,Neutral,General,True,2,2026-06-25 11:20:49,2026-06-27 06:17:45,False,False
2152,5,1.9.51,1,slow,Google Play,English,Negative,General,True,1,2026-06-25 11:04:51,2026-06-27 06:11:54,False,True
2153,5,,1,"S#+$&@#&#@ punye apps.same tengin dgn maybnk.sebab dah xboley updatelah user install kat fon baru,then Suh login jugak² dulu kat fon lame,before bole gune kat fon baru.",Google Play,English,Neutral,General,True,1,2026-06-25 10:49:47,2026-06-26 08:26:08,False,False
2154,5,1.9.51,1,"dalam banyak2 apps bank, cimb paling slow. Nak tunggu no tac berjam.",Google Play,English,Negative,General,True,0,2026-06-25 10:31:55,2026-06-26 08:22:02,False,True
2155,5,1.9.33,1,"Dear CIMB, I'm using an old phone and my operating system is unable to update anymore, and i cannot use the cimb octo and I need to buy a new phone, please reconsider your application requirements, I believe a lot of people not only me having the same problem.",Google Play,English,Negative,General,True,1,2026-06-25 09:46:16,2026-06-26 08:20:58,False,True
2156,5,,1,Kenapa tak boleh update? Incompatible device pula. Sebelum ni okay,Google Play,English,Neutral,General,True,1,2026-06-25 09:37:05,2026-06-25 09:51:46,False,False
2157,5,1.9.51,2,in the latest version (updated on 25/6) the accounts page loads extremely slow and keep getting blocked by popup about multicurrency downtime. This is bad design as it should not block normal user from viewing its normal account balance,Google Play,English,Negative,General,True,2,2026-06-25 08:17:09,2026-06-25 09:43:36,False,True
2158,5,1.9.51,1,"App takes a while load. Normally this is not an issue, but when you need to approve tac, then that's a problem. Slow start is one thing, then when you open the tac approval thing you still have to wait 10 more seconds. Then the app close when you fail to approve tac in time. then you have to go through the whole slow start again. Not very smart design choice.",Google Play,English,Negative,General,True,4,2026-06-25 07:54:33,2026-06-25 09:40:28,False,True
2159,5,1.6.3,1,suddenly my octa app cannot use. its say doesn't support. why?? why?? i uninstall octa app and try to reinstall that octo app but failed. why? its run smooth before. what im gonna now?,Google Play,English,Negative,General,False,1,2026-06-25 04:22:08,,True,True
2160,5,1.9.51,1,to slow,Google Play,English,Negative,General,False,0,2026-06-25 03:44:08,,False,True
2161,5,1.9.33,5,this app is not compatible to my phone anymore..I try to upgrade the version but it says already new version..what should I do?,Google Play,English,Neutral,General,False,0,2026-06-25 02:56:05,,False,False
